58
25
1B1Ya,0.01164326,0.024154728,0.012515694,0.031733803,0.020951509,0.018323944,0.035344064,0.060248692,0.035521932,0.034983099,0.04017827,0.018796982,0.029044266,0.039822535,0.009264588,0.016419517,0.045512274,0.043816298,0.031692354,0.023590342,0.269315493,0.051214085,0.065121932,0.022334004,0.008456338
1CNVa,0.015420714,0.031283214,0.019566429,0.035497857,0.039733214,0.018609286,0.033727143,0.032615714,0.033466071,0.032328571,0.044241071,0.014516071,0.02815,0.058661071,0.016178571,0.009236071,0.0400825,0.04924,0.029586429,0.032311429,0.226893571,0.0506525,0.065860357,0.040127143,0.002015
1EDGa,0.021807162,0.034347745,0.011258621,0.03751565,0.033741645,0.016313528,0.029656764,0.027159682,0.033453581,0.029127586,0.028176923,0.016876127,0.036348806,0.031187533,0.01428939,0.012571883,0.039850663,0.047433687,0.024356499,0.028728117,0.270743767,0.069381698,0.06957878,0.029670027,0.006424138
1ITXa,0.02559399,0.05623125,0.01285625,0.024939904,0.035859856,0.017745192,0.045685337,0.02701899,0.043449519,0.03620625,0.046803125,0.019857212,0.018066346,0.060784135,0.015016106,0.00887476,0.033363702,0.050761779,0.011164904,0.032175,0.213313942,0.056434375,0.063761058,0.034131731,0.009905288
1JFXa,0.01765,0.054410748,0.006806075,0.046839252,0.033041121,0.015545794,0.067015888,0.034509346,0.058758879,0.032206075,0.038407944,0.012763551,0.027476168,0.068869626,0.014625701,0.016755607,0.023211682,0.033892991,0.023573364,0.018629439,0.227077103,0.035203271,0.062498131,0.01036028,0.019871963
1KFWa,0.010957407,0.054790046,0.004905093,0.026604398,0.038645602,0.015921065,0.04988588,0.035937037,0.05427037,0.030281481,0.034547685,0.021408565,0.031805787,0.059180556,0.01455625,0.009707639,0.028156944,0.056181713,0.020644676,0.022996991,0.216515972,0.060662963,0.061176389,0.032089352,0.008170139
1NARa,0.02191049,0.04235035,0.021498252,0.032422378,0.017751748,0.010476923,0.040553497,0.02811049,0.046676224,0.024847203,0.026344056,0.019541259,0.063861888,0.057381119,0.002860839,0.005231469,0.032043706,0.047151399,0.022255594,0.026609091,0.248741259,0.072754196,0.064231119,0.024390559,4.90E-06
1VFFa,0.018061429,0.042148571,0.008325714,0.035095238,0.035969048,0.019674048,0.043585476,0.023462143,0.039074048,0.042002857,0.02410619,0.02176619,0.033465714,0.048632381,0.011907857,0.013792619,0.031531667,0.031957381,0.01157,0.024509286,0.266189048,0.074476429,0.064612857,0.025998333,0.008085476
2EBNa,0.033820213,0.038605319,0.022885106,0.048522695,0.042734043,0.017842199,0.056716667,0.031540426,0.062868085,0.024661702,0.039657801,0.013568794,0.027446809,0.038463121,0.016770567,0.008761348,0.029891844,0.04197766,0.012186525,0.019964184,0.197760638,0.062642553,0.062821277,0.041164539,0.006725887
1HLBb,0.001935714,0.001177922,0.000680519,0.001861688,0.016835714,0.006120779,0.009935065,0.012625974,0.01081039,0.014383766,0.028487013,0.011846104,0.019228571,0.023846753,0.009850649,0.001636364,0.035596753,0.012956494,0.033693506,0.034982468,0.451556494,0.146248052,0.097669481,0.012486364,0.003547403
